StartSecond,EndSecond,ScientificName,Species,Probability,File,birdcode
1,4,Vireo cassinii,Cassin's Vireo,0.1019,s2lam001_180526_2018-05-28_06-20.wav,CAVI
13,16,Fulmarus glacialis,Northern Fulmar,0.2079,s2lam001_180526_2018-05-28_06-20.wav,NA
21,24,Empidonax oberholseri,Dusky Flycatcher,0.1048,s2lam001_180526_2018-05-28_06-20.wav,NA
22,25,Melozone crissalis,California Towhee,0.1226,s2lam001_180526_2018-05-28_06-20.wav,CALT
23,26,Melozone crissalis,California Towhee,0.2954,s2lam001_180526_2018-05-28_06-20.wav,CALT
24,27,Melozone crissalis,California Towhee,0.1294,s2lam001_180526_2018-05-28_06-20.wav,CALT
32,35,Melozone crissalis,California Towhee,0.4359,s2lam001_180526_2018-05-28_06-20.wav,CALT
33,36,Melozone crissalis,California Towhee,0.4606,s2lam001_180526_2018-05-28_06-20.wav,CALT
34,37,Melozone crissalis,California Towhee,0.2698,s2lam001_180526_2018-05-28_06-20.wav,CALT
41,44,Melozone crissalis,California Towhee,0.1217,s2lam001_180526_2018-05-28_06-20.wav,CALT
42,45,Melozone crissalis,California Towhee,0.4689,s2lam001_180526_2018-05-28_06-20.wav,CALT
43,46,Melozone crissalis,California Towhee,0.4571,s2lam001_180526_2018-05-28_06-20.wav,CALT
44,47,Melozone crissalis,California Towhee,0.4143,s2lam001_180526_2018-05-28_06-20.wav,CALT
50,53,Melozone crissalis,California Towhee,0.3945,s2lam001_180526_2018-05-28_06-20.wav,CALT
51,54,Melozone crissalis,California Towhee,0.3694,s2lam001_180526_2018-05-28_06-20.wav,CALT
52,55,Melozone crissalis,California Towhee,0.5362,s2lam001_180526_2018-05-28_06-20.wav,CALT
53,56,Melozone crissalis,California Towhee,0.482,s2lam001_180526_2018-05-28_06-20.wav,CALT
55,58,Leiothlypis celata,Orange-crowned Warbler,0.1598,s2lam001_180526_2018-05-28_06-20.wav,OCWA
56,59,Leiothlypis celata,Orange-crowned Warbler,0.1577,s2lam001_180526_2018-05-28_06-20.wav,OCWA
57,60,Leiothlypis celata,Orange-crowned Warbler,0.1022,s2lam001_180526_2018-05-28_06-20.wav,OCWA
6,9,Melozone crissalis,California Towhee,0.2389,s2lam001_180526_2018-05-28_06-20.wav,CALT
7,10,Melozone crissalis,California Towhee,0.389,s2lam001_180526_2018-05-28_06-20.wav,CALT
8,11,Melozone crissalis,California Towhee,0.4948,s2lam001_180526_2018-05-28_06-20.wav,CALT
0,3,Leiothlypis celata,Orange-crowned Warbler,0.8978,s2lam001_180526_2018-05-28_06-40.wav,OCWA
1,4,Leiothlypis celata,Orange-crowned Warbler,0.9123,s2lam001_180526_2018-05-28_06-40.wav,OCWA
10,13,Leiothlypis celata,Orange-crowned Warbler,0.6024,s2lam001_180526_2018-05-28_06-40.wav,OCWA
11,14,Leiothlypis celata,Orange-crowned Warbler,0.6685,s2lam001_180526_2018-05-28_06-40.wav,OCWA
12,15,Leiothlypis celata,Orange-crowned Warbler,0.4059,s2lam001_180526_2018-05-28_06-40.wav,OCWA
13,16,Melozone crissalis,California Towhee,0.2607,s2lam001_180526_2018-05-28_06-40.wav,CALT
14,17,Melozone crissalis,California Towhee,0.2201,s2lam001_180526_2018-05-28_06-40.wav,CALT
2,5,Leiothlypis celata,Orange-crowned Warbler,0.7455,s2lam001_180526_2018-05-28_06-40.wav,OCWA
21,24,Melozone crissalis,California Towhee,0.1275,s2lam001_180526_2018-05-28_06-40.wav,CALT
22,25,Melozone crissalis,California Towhee,0.2052,s2lam001_180526_2018-05-28_06-40.wav,CALT
23,26,Melozone crissalis,California Towhee,0.2958,s2lam001_180526_2018-05-28_06-40.wav,CALT
24,27,Leiothlypis celata,Orange-crowned Warbler,0.2814,s2lam001_180526_2018-05-28_06-40.wav,OCWA
25,28,Leiothlypis celata,Orange-crowned Warbler,0.6142,s2lam001_180526_2018-05-28_06-40.wav,OCWA
26,29,Leiothlypis celata,Orange-crowned Warbler,0.6244,s2lam001_180526_2018-05-28_06-40.wav,OCWA
27,30,Leiothlypis celata,Orange-crowned Warbler,0.7381,s2lam001_180526_2018-05-28_06-40.wav,OCWA
3,6,Melozone crissalis,California Towhee,0.1094,s2lam001_180526_2018-05-28_06-40.wav,CALT
30,33,Melozone crissalis,California Towhee,0.1136,s2lam001_180526_2018-05-28_06-40.wav,CALT
31,34,Melozone crissalis,California Towhee,0.1326,s2lam001_180526_2018-05-28_06-40.wav,CALT
36,39,Leiothlypis celata,Orange-crowned Warbler,0.7337,s2lam001_180526_2018-05-28_06-40.wav,OCWA
37,40,Leiothlypis celata,Orange-crowned Warbler,0.9055,s2lam001_180526_2018-05-28_06-40.wav,OCWA
38,41,Leiothlypis celata,Orange-crowned Warbler,0.9021,s2lam001_180526_2018-05-28_06-40.wav,OCWA
39,42,Leiothlypis celata,Orange-crowned Warbler,0.8357,s2lam001_180526_2018-05-28_06-40.wav,OCWA
4,7,Melozone crissalis,California Towhee,0.2286,s2lam001_180526_2018-05-28_06-40.wav,CALT
41,44,Melozone crissalis,California Towhee,0.1263,s2lam001_180526_2018-05-28_06-40.wav,CALT
42,45,Melozone crissalis,California Towhee,0.4742,s2lam001_180526_2018-05-28_06-40.wav,CALT
43,46,Melozone crissalis,California Towhee,0.1727,s2lam001_180526_2018-05-28_06-40.wav,CALT
45,48,Leiothlypis celata,Orange-crowned Warbler,0.8288,s2lam001_180526_2018-05-28_06-40.wav,OCWA
46,49,Leiothlypis celata,Orange-crowned Warbler,0.8281,s2lam001_180526_2018-05-28_06-40.wav,OCWA
47,50,Leiothlypis celata,Orange-crowned Warbler,0.9429,s2lam001_180526_2018-05-28_06-40.wav,OCWA
48,51,Leiothlypis celata,Orange-crowned Warbler,0.8981,s2lam001_180526_2018-05-28_06-40.wav,OCWA
5,8,Melozone crissalis,California Towhee,0.1209,s2lam001_180526_2018-05-28_06-40.wav,CALT
51,54,Melozone crissalis,California Towhee,0.5034,s2lam001_180526_2018-05-28_06-40.wav,CALT
52,55,Melozone crissalis,California Towhee,0.3271,s2lam001_180526_2018-05-28_06-40.wav,CALT
56,59,Leiothlypis celata,Orange-crowned Warbler,0.4697,s2lam001_180526_2018-05-28_06-40.wav,OCWA
57,60,Leiothlypis celata,Orange-crowned Warbler,0.9133,s2lam001_180526_2018-05-28_06-40.wav,OCWA
9,12,Leiothlypis celata,Orange-crowned Warbler,0.5288,s2lam001_180526_2018-05-28_06-40.wav,OCWA
13,16,Melozone crissalis,California Towhee,0.1528,s2lam001_180526_2018-05-28_09-00.wav,CALT
32,35,Melozone crissalis,California Towhee,0.1073,s2lam001_180526_2018-05-28_09-00.wav,CALT
4,7,Calypte anna,Anna's Hummingbird,0.1064,s2lam001_180526_2018-05-28_09-00.wav,ANHU
44,47,Pheucticus melanocephalus,Black-headed Grosbeak,0.7266,s2lam001_180526_2018-05-28_09-00.wav,BHGR
45,48,Pheucticus melanocephalus,Black-headed Grosbeak,0.6325,s2lam001_180526_2018-05-28_09-00.wav,BHGR
46,49,Pheucticus melanocephalus,Black-headed Grosbeak,0.3888,s2lam001_180526_2018-05-28_09-00.wav,BHGR
54,57,Catharus ustulatus,Swainson's Thrush,0.2454,s2lam001_180526_2018-05-28_09-00.wav,SWTH
57,60,Chamaea fasciata,Wrentit,0.3713,s2lam001_180526_2018-05-28_09-00.wav,WREN
0,3,Chamaea fasciata,Wrentit,0.1655,s2lam001_180526_2018-05-28_09-30.wav,WREN
1,4,Chamaea fasciata,Wrentit,0.2955,s2lam001_180526_2018-05-28_09-30.wav,WREN
10,13,Melozone crissalis,California Towhee,0.2243,s2lam001_180526_2018-05-28_09-30.wav,CALT
2,5,Chamaea fasciata,Wrentit,0.4691,s2lam001_180526_2018-05-28_09-30.wav,WREN
20,23,Leiothlypis celata,Orange-crowned Warbler,0.5053,s2lam001_180526_2018-05-28_09-30.wav,OCWA
21,24,Leiothlypis celata,Orange-crowned Warbler,0.7751,s2lam001_180526_2018-05-28_09-30.wav,OCWA
22,25,Leiothlypis celata,Orange-crowned Warbler,0.8693,s2lam001_180526_2018-05-28_09-30.wav,OCWA
23,26,Leiothlypis celata,Orange-crowned Warbler,0.5528,s2lam001_180526_2018-05-28_09-30.wav,OCWA
29,32,Chamaea fasciata,Wrentit,0.1724,s2lam001_180526_2018-05-28_09-30.wav,WREN
3,6,Chamaea fasciata,Wrentit,0.1558,s2lam001_180526_2018-05-28_09-30.wav,WREN
30,33,Chamaea fasciata,Wrentit,0.1841,s2lam001_180526_2018-05-28_09-30.wav,WREN
34,37,Leiothlypis celata,Orange-crowned Warbler,0.3249,s2lam001_180526_2018-05-28_09-30.wav,OCWA
35,38,Leiothlypis celata,Orange-crowned Warbler,0.7117,s2lam001_180526_2018-05-28_09-30.wav,OCWA
39,42,Chamaea fasciata,Wrentit,0.2955,s2lam001_180526_2018-05-28_09-30.wav,WREN
41,44,Chamaea fasciata,Wrentit,0.2058,s2lam001_180526_2018-05-28_09-30.wav,WREN
44,47,Leiothlypis celata,Orange-crowned Warbler,0.3673,s2lam001_180526_2018-05-28_09-30.wav,OCWA
45,48,Leiothlypis celata,Orange-crowned Warbler,0.7027,s2lam001_180526_2018-05-28_09-30.wav,OCWA
46,49,Leiothlypis celata,Orange-crowned Warbler,0.7443,s2lam001_180526_2018-05-28_09-30.wav,OCWA
47,50,Leiothlypis celata,Orange-crowned Warbler,0.7954,s2lam001_180526_2018-05-28_09-30.wav,OCWA
5,8,Leiothlypis celata,Orange-crowned Warbler,0.1668,s2lam001_180526_2018-05-28_09-30.wav,OCWA
54,57,Melozone crissalis,California Towhee,0.3744,s2lam001_180526_2018-05-28_09-30.wav,CALT
55,58,Melozone crissalis,California Towhee,0.6566,s2lam001_180526_2018-05-28_09-30.wav,CALT
56,59,Melozone crissalis,California Towhee,0.4925,s2lam001_180526_2018-05-28_09-30.wav,CALT
7,10,Leiothlypis celata,Orange-crowned Warbler,0.1304,s2lam001_180526_2018-05-28_09-30.wav,OCWA
8,11,Chamaea fasciata,Wrentit,0.2297,s2lam001_180526_2018-05-28_09-30.wav,WREN
9,12,Chamaea fasciata,Wrentit,0.1464,s2lam001_180526_2018-05-28_09-30.wav,WREN
15,18,Regulus satrapa,Golden-crowned Kinglet,0.1603,s2lam001_180604_2018-06-09_07-30.wav,NA
10,13,Junco hyemalis,Dark-eyed Junco,0.4525,s2lam001_180707_2018-07-09_06-20.wav,DEJU
11,14,Junco hyemalis,Dark-eyed Junco,0.5142,s2lam001_180707_2018-07-09_06-20.wav,DEJU
12,15,Colaptes auratus,Northern Flicker,0.4789,s2lam001_180707_2018-07-09_06-20.wav,NOFL
13,16,Colaptes auratus,Northern Flicker,0.715,s2lam001_180707_2018-07-09_06-20.wav,NOFL
14,17,Colaptes auratus,Northern Flicker,0.7528,s2lam001_180707_2018-07-09_06-20.wav,NOFL
15,18,Colaptes auratus,Northern Flicker,0.8116,s2lam001_180707_2018-07-09_06-20.wav,NOFL
16,19,Junco hyemalis,Dark-eyed Junco,0.2692,s2lam001_180707_2018-07-09_06-20.wav,DEJU
17,20,Colaptes auratus,Northern Flicker,0.9087,s2lam001_180707_2018-07-09_06-20.wav,NOFL
18,21,Colaptes auratus,Northern Flicker,0.8064,s2lam001_180707_2018-07-09_06-20.wav,NOFL
19,22,Colaptes auratus,Northern Flicker,0.5273,s2lam001_180707_2018-07-09_06-20.wav,NOFL
20,23,Junco hyemalis,Dark-eyed Junco,0.143,s2lam001_180707_2018-07-09_06-20.wav,DEJU
21,24,Junco hyemalis,Dark-eyed Junco,0.2681,s2lam001_180707_2018-07-09_06-20.wav,DEJU
23,26,Junco hyemalis,Dark-eyed Junco,0.2452,s2lam001_180707_2018-07-09_06-20.wav,DEJU
24,27,Junco hyemalis,Dark-eyed Junco,0.5038,s2lam001_180707_2018-07-09_06-20.wav,DEJU
25,28,Junco hyemalis,Dark-eyed Junco,0.3841,s2lam001_180707_2018-07-09_06-20.wav,DEJU
26,29,Junco hyemalis,Dark-eyed Junco,0.2047,s2lam001_180707_2018-07-09_06-20.wav,DEJU
28,31,Dryobates villosus,Hairy Woodpecker,0.3905,s2lam001_180707_2018-07-09_06-20.wav,NA
29,32,Dryobates villosus,Hairy Woodpecker,0.3262,s2lam001_180707_2018-07-09_06-20.wav,NA
3,6,Junco hyemalis,Dark-eyed Junco,0.2917,s2lam001_180707_2018-07-09_06-20.wav,DEJU
