var,cleanName,cleanName2,varGroup
aet_wy2013.2015_q1_OctNovDec_1000M,AETQ1_1000m,AETQ1,Climate
aet_wy2013.2015_q1_OctNovDec_250M,AETQ1_250m,AETQ1,Climate
aet_wy2013.2015_q1_OctNovDec_500M,AETQ1_500m,AETQ1,Climate
aet_wy2013.2015_q2_JanFebMar_1000M,AETQ2_1000m,AETQ2,Climate
aet_wy2013.2015_q2_JanFebMar_250M,AETQ2_250m,AETQ2,Climate
aet_wy2013.2015_q2_JanFebMar_500M,AETQ2_500m,AETQ2,Climate
aet_wy2013.2015_q3_AprMayJun_1000M,AETQ3_1000m,AETQ3,Climate
aet_wy2013.2015_q3_AprMayJun_250M,AETQ3_250m,AETQ3,Climate
aet_wy2013.2015_q3_AprMayJun_500M,AETQ3_500m,AETQ3,Climate
aet_wy2013.2015_q4_JulAugSep_1000M,AETQ4_1000m,AETQ4,Climate
aet_wy2013.2015_q4_JulAugSep_250M,AETQ4_250m,AETQ4,Climate
aet_wy2013.2015_q4_JulAugSep_500M,AETQ4_500m,AETQ4,Climate
CoastDistance_1000M,CoastDist_1000m,CoastDist,AUX
CoastDistance_250M,CoastDist_250m,CoastDist,AUX
CoastDistance_500M,CoastDist_500m,CoastDist,AUX
dem_1000M,DEM_1000m,DEM,AUX
dem_250M,DEM_250m,DEM,AUX
dem_500M,DEM_500m,DEM,AUX
NA,NA,NA,NA
ndvi_ann_95p_1000M,NDVI95p_1000m,NDVI95p,Phenology
ndvi_ann_95p_250M,NDVI95p_250m,NDVI95p,Phenology
ndvi_ann_95p_500M,NDVI95p_500m,NDVI95p,Phenology
ndvi_seas_diff_1000M,NDVIdiff_1000m,NDVIdiff,Phenology
ndvi_seas_diff_250M,NDVIdiff_250m,NDVIdiff,Phenology
ndvi_seas_diff_500M,NDVIdiff_500m,NDVIdiff,Phenology
ndvi_var_1000M,NDVIvar_1000m,NDVIvar,Phenology
ndvi_var_250M,NDVIvar_250m,NDVIvar,Phenology
ndvi_var_500M,NDVIvar_500m,NDVIvar,Phenology
noised_gLAI010_1yr_1000M,LAI0to10_1yr_1000m,LAI0to10,Can. Struct.
noised_gLAI010_1yr_250M,LAI0to10_1yr_250m,LAI0to10,Can. Struct.
noised_gLAI010_1yr_500M,LAI0to10_1yr_500m,LAI0to10,Can. Struct.
noised_gLAI010_2yr_1000M,LAI0to10_2yr_1000m,LAI0to10,Can. Struct.
noised_gLAI010_2yr_250M,LAI0to10_2yr_250m,LAI0to10,Can. Struct.
noised_gLAI010_2yr_500M,LAI0to10_2yr_500m,LAI0to10,Can. Struct.
noised_gLAI010_3yr_1000M,LAI0to10_3yr_1000m,LAI0to10,Can. Struct.
